timestamp,blink,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1565648726082,0,40,29,5191,2489,4891,6359,6328,6010,6528,5735,
1565648726583,0,34,30,5179,2483,4806,6241,6344,5968,6494,5803,
1565648727084,0,31,30,5170,2464,4668,6080,6352,5909,6356,5711,
1565648727585,0,29,28,5162,2436,4552,5884,6351,5851,6224,5590,
1565648728085,0,31,26,5153,2405,4509,5682,6372,5804,6209,5600,
1565648728586,0,28,25,5145,2373,4505,5507,6423,5738,6314,5770,
1565648729087,0,34,26,5138,2349,4526,5384,6497,5671,6409,5848,
1565648729588,0,30,28,5131,2334,4562,5315,6577,5598,6417,5703,
1565648730088,0,28,31,5126,2328,4595,5283,6650,5538,6395,5497,
1565648730589,0,44,35,5122,2332,4643,5274,6698,5460,6471,5342,
1565648731090,0,41,38,5117,2342,4719,5272,6712,5374,6655,5210,
1565648731590,0,46,40,5114,2356,4790,5259,6685,5301,6792,4929,
1565648732091,0,44,44,5112,2373,4815,5222,6639,5213,6889,4634,
1565648732591,0,49,45,5109,2391,4777,5147,6585,5117,6994,4376,
1565648733092,0,69,42,5108,2435,4675,5035,6521,5037,7126,4117,
1565648733592,0,67,40,5108,2501,4552,4907,6456,4944,7203,3984,
1565648734093,0,62,41,5107,2578,4467,4789,6397,4847,7115,4078,
1565648734593,0,63,43,5106,2655,4468,4702,6345,4769,6849,4366,
1565648735094,0,59,45,5102,2709,4515,4657,6304,4681,6612,4627,
1565648735594,0,41,46,5097,2732,4562,4642,6272,4591,6538,4703,
1565648736094,45,37,46,5091,2737,4611,4645,6221,4521,6560,4651,
1565648736595,9,38,46,5083,2735,4658,4649,6158,4445,6544,4627,
1565648737096,0,34,43,5074,2735,4719,4640,6091,4370,6483,4649,
1565648737596,0,37,40,5064,2742,4838,4604,6020,4314,6471,4597,
1565648738097,45,48,41,5051,2762,4977,4560,5957,4254,6427,4493,
1565648738598,0,37,46,5039,2810,5082,4533,5911,4193,6333,4412,
1565648739099,0,37,51,5026,2859,5113,4521,5880,4149,6240,4406,
1565648739599,0,45,54,5009,2886,5132,4519,5852,4098,6195,4430,
1565648740100,0,50,55,4994,2901,5172,4519,5815,4044,6144,4447,
1565648740600,0,60,51,4979,2922,5217,4519,5769,4002,6065,4469,
1565648741100,0,54,47,4958,2966,5256,4510,5720,3953,6139,4537,
1565648741602,0,59,46,4941,3051,5261,4495,5677,3898,6379,4695,
1565648742102,0,62,45,4923,3179,5203,4482,5642,3852,6642,4897,
1565648742603,0,67,45,4901,3346,5131,4481,5621,3800,6790,4970,
1565648743104,0,64,45,4882,3515,5095,4499,5617,3747,6851,4980,
1565648743605,0,70,47,4863,3686,5138,4525,5616,3707,6917,5053,
1565648744105,0,73,50,4837,3844,5271,4523,5612,3662,6970,5104,
1565648744606,0,66,55,4817,3968,5467,4498,5604,3626,7092,5007,
1565648745106,0,58,61,4794,4053,5649,4463,5591,3596,7292,4791,
1565648745606,0,62,64,4770,4081,5762,4431,5572,3566,7387,4684,
1565648746107,0,59,66,4740,4054,5791,4415,5543,3542,7250,4653,
1565648746608,0,59,67,4713,3976,5769,4447,5506,3524,6943,4586,
1565648747109,0,57,68,4685,3872,5712,4542,5467,3508,6672,4539,
1565648747609,0,63,72,4649,3769,5643,4668,5450,3498,6526,4554,
1565648748109,0,53,76,4618,3683,5579,4785,5457,3493,6475,4626,
1565648748610,0,45,77,4587,3627,5542,4856,5481,3491,6441,4702,
1565648749111,0,49,78,4549,3592,5513,4863,5507,3483,6372,4779,
1565648749611,0,50,78,4516,3582,5482,4847,5527,3466,6338,4838,
1565648750111,0,50,79,4484,3587,5423,4822,5531,3444,6470,4815,
1565648750611,94,35,79,4442,3598,5336,4795,5512,3416,6733,4760,
1565648751112,0,27,78,4409,3605,5226,4774,5489,3383,6959,4726,
1565648751613,0,28,75,4376,3607,5102,4765,5496,3353,7009,4704,
1565648752114,0,29,72,4336,3614,4958,4746,5526,3321,6801,4751,
1565648752615,0,19,69,4304,3627,4786,4666,5574,3297,6412,4899,
1565648753116,0,23,69,4271,3640,4603,4540,5635,3282,6044,5120,
1565648753617,0,23,70,4231,3649,4421,4393,5706,3272,5847,5331,
1565648754118,0,21,69,4200,3646,4271,4252,5773,3275,5790,5455,
1565648754619,0,28,68,4169,3631,4182,4138,5840,3293,5713,5482,
1565648755120,0,48,65,4131,3599,4087,4071,5900,3313,5685,5539,
1565648755620,0,44,61,4098,3548,3959,4050,5946,3340,5719,5618,
1565648756121,0,46,60,4062,3483,3839,4060,5983,3376,5723,5601,
1565648756621,0,46,58,4015,3418,3778,4078,6010,3410,5659,5372,
1565648757122,0,56,57,3976,3359,3773,4082,6021,3449,5578,5079,
1565648757623,0,54,56,3936,3312,3761,4057,6024,3495,5552,4986,
1565648758124,0,52,54,3894,3270,3742,3977,6009,3536,5592,5052,
1565648758624,0,57,52,3845,3226,3716,3859,5977,3581,5654,5081,
1565648759125,0,59,52,3802,3186,3686,3737,5912,3630,5684,4888,
1565648759625,0,60,52,3759,3155,3672,3648,5811,3671,5698,4649,
1565648760126,0,50,50,3708,3145,3674,3619,5684,3717,5698,4444,
1565648760626,0,54,49,3665,3164,3676,3665,5544,3757,5663,4250,
1565648761127,0,61,49,3624,3219,3665,3780,5387,3796,5421,4076,
1565648761628,0,60,52,3579,3328,3655,3932,5235,3845,5073,3976,
1565648762129,0,54,52,3540,3482,3673,4078,5094,3894,4856,3977,
1565648762629,0,63,48,3503,3648,3704,4175,4967,3943,4795,4038,
1565648763130,0,63,45,3461,3797,3729,4198,4869,3999,4819,4091,
1565648763630,0,71,42,3429,3899,3735,4204,4803,4051,4857,4063,
1565648764131,0,79,38,3399,3938,3739,4219,4748,4097,4904,3859,
1565648764631,0,74,31,3367,3942,3748,4242,4708,4142,5034,3556,
1565648765133,0,53,27,3343,3928,3764,4271,4676,4179,5327,3286,
1565648765633,0,43,24,3318,3900,3793,4310,4632,4210,5741,2994,
1565648766134,0,30,23,3303,3874,3863,4320,4594,4225,6005,2851,
1565648766634,0,21,23,3293,3840,4046,4250,4535,4231,6248,2872,
1565648767135,0,18,23,3290,3822,4195,4149,4481,4231,6431,3068,
1565648767635,0,25,22,3293,3782,4382,3992,4402,4230,6663,3456,
1565648768136,0,50,22,3292,3718,4480,3875,4342,4222,6819,3757,
1565648768636,0,62,24,3301,3640,4531,3804,4298,4217,7039,3980,
1565648769137,27,67,27,3312,3565,4555,3763,4282,4211,7207,4098,
1565648769637,0,61,31,3325,3506,4593,3734,4298,4200,7163,4116,
1565648770138,0,58,37,3341,3478,4676,3714,4342,4191,6807,4151,
1565648770639,0,54,41,3357,3494,4798,3694,4394,4184,6378,4199,
1565648771139,0,57,44,3370,3565,4937,3669,4440,4172,6103,4231,
1565648771639,0,49,48,3386,3679,5050,3637,4481,4161,5985,4217,
1565648772140,0,45,52,3400,3818,5095,3617,4518,4152,5889,4218,
1565648772641,95,29,56,3413,3954,5063,3608,4545,4140,5745,4276,
1565648773142,0,33,60,3424,4072,4978,3607,4563,4127,5728,4320,
1565648773642,0,39,61,3431,4148,4881,3609,4571,4112,5771,4235,
1565648774142,84,42,60,3436,4174,4814,3611,4578,4090,5754,3971,
1565648774643,0,45,59,3433,4149,4802,3624,4607,4064,5588,3645,
1565648775143,0,52,59,3430,4096,4797,3664,4657,4040,5400,3403,
1565648775644,0,61,58,3424,4034,4792,3720,4719,4011,5285,3287,
1565648776144,0,58,55,3417,3989,4800,3776,4788,3981,5173,3198,
1565648776645,0,55,52,3409,3976,4836,3817,4856,3959,5012,3133,
1565648777146,0,54,50,3400,3999,4914,3837,4914,3936,4783,3055,
1565648777647,0,55,49,3388,4047,5044,3830,4960,3915,4516,2868,
1565648778147,0,51,47,3378,4105,5207,3806,4985,3908,4289,2699,
1565648778648,0,38,45,3367,4143,5368,3790,4977,3901,4152,2706,
1565648779149,0,39,42,3357,4142,5496,3804,4957,3898,4115,2933,
1565648779649,0,37,39,3346,4079,5534,3872,4928,3904,4148,3113,
1565648780150,0,42,39,3334,3980,5529,3988,4903,3903,4257,3046,
1565648780650,0,47,37,3321,3885,5527,4109,4899,3897,4464,2798,
1565648781151,0,64,33,3310,3807,5594,4230,4923,3897,4598,2618,
